-0.6746 0.41 -0.6139   -0.6746 0.41 -0.6139
-0.6751 0.4373 -0.5941   -0.6751 0.4373 -0.5941
-0.3329 -0.624 0.7069   -0.3329 -0.624 0.7069
-0.4789 -0.7084 0.5184   -0.4789 -0.7084 0.5184
-0.6487 -0.7217 0.2413   -0.6487 -0.7217 0.2413
-0.9035 -0.3723 -0.2122   -0.9035 -0.3723 -0.2122
-0.9234 -0.2884 -0.2534   -0.9234 -0.2884 -0.2534
-0.972 0.03988 -0.2316   -0.972 0.03988 -0.2316
-0.825 -0.0961 0.5569   -0.825 -0.0961 0.5569
-0.565 -0.07223 0.8219   -0.565 -0.07223 0.8219
0.02892 0.08322 0.9961   0.02892 0.08322 0.9961
0.2118 0.2346 0.9488   0.2118 0.2346 0.9488
-0.1133 0.9931 0.0303   -0.1133 0.9931 0.0303
-0.6059 0.4519 -0.6547   -0.6059 0.4519 -0.6547
0.09677 0.754 -0.6497   0.09677 0.754 -0.6497
0.2584 0.7288 -0.6341   0.2584 0.7288 -0.6341
-0.2547 -0.8668 -0.4287   -0.2547 -0.8668 -0.4287
-0.6247 -0.6965 -0.3529   -0.6247 -0.6965 -0.3529
-0.2284 -0.432 -0.1058   0.4568 0.864 0.2116
0.4069 -0.007911 0.2904   -0.8139 0.01582 -0.5808
0.8032 0.2566 0.5375   0.8032 0.2566 0.5375
0.7787 0.2908 0.5559   0.7787 0.2908 0.5559
0.2288 0.1997 0.3972   -0.4576 -0.3994 -0.7944
-0.4492 0.08745 0.2015   0.8983 -0.1749 -0.403
-0.9991 -0.003602 0.04278   -0.9991 -0.003602 0.04278
-0.9628 -0.2701 0.006595   -0.9628 -0.2701 0.006595
-0.7457 -0.6662 -0.004706   -0.7457 -0.6662 -0.004706
-0.522 -0.5557 -0.6471   -0.522 -0.5557 -0.6471
-0.9142 -0.07377 -0.3984   -0.9142 -0.07377 -0.3984
-0.9707 0.09302 -0.2217   -0.9707 0.09302 -0.2217
0.1046 0.08196 0.9911   0.1046 0.08196 0.9911
0.135 0.08246 0.9874   0.135 0.08246 0.9874
-0.1369 0.08969 0.4725   0.2738 -0.1794 -0.9449
-0.4663 0.09844 -0.1513   0.9326 -0.1969 0.3026
