/*
Absorption coefficient of pure water compiled from data presented
in the following papers:

Segelstein, D. J. (1981). The complex refractive index of water
(Doctoral dissertation, University of Missouri--Kansas City).

Wieliczka, D. M., Weng, S., & Querry, M. R. (1989). Wedge shaped cell
for highly absorbent liquids: infrared optical constants of
water. Applied optics, 28(9), 1714-1719.

Pope, R. M., & Fry, E. S. (1997). Absorption spectrum (380–700 nm) of
pure water. II. Integrating cavity measurements. Applied optics,
36(33), 8710-8723.

Sogandares, F. M., & Fry, E. S. (1997). Absorption spectrum (340–640
nm) of pure water. I. Photothermal measurements. Applied Optics,
36(33), 8699-8709.

Mason, J. D., Cone, M. T., & Fry, E. S. (2016). Ultraviolet (250–550
nm) absorption spectrum of pure water. Applied optics, 55(25),
7163-7172.

Column 1: wavelength [m].
Column 2: absorption coefficient [1/m].
*/

3.87013e-06 1.18545e+04
3.92400e-06 1.26782e+04
3.97863e-06 1.38799e+04
4.03401e-06 1.54014e+04
4.09017e-06 1.68971e+04
4.14711e-06 1.87335e+04
4.20484e-06 2.08640e+04
4.26337e-06 2.32614e+04
4.32272e-06 2.59183e+04
4.38290e-06 2.88187e+04
4.44391e-06 3.21035e+04
4.50577e-06 3.50219e+04
4.56850e-06 3.84788e+04
4.63209e-06 4.13529e+04
4.69657e-06 4.19812e+04
4.76195e-06 4.06663e+04
4.82824e-06 3.81625e+04
4.89546e-06 3.52673e+04
4.96360e-06 3.28632e+04
5.03270e-06 2.99177e+04
5.10276e-06 2.74235e+04
5.17379e-06 2.52100e+04
5.24582e-06 2.37472e+04
5.31884e-06 2.32258e+04
5.39289e-06 2.39580e+04
5.46796e-06 2.56044e+04
5.54408e-06 2.84257e+04
5.62125e-06 3.40575e+04
5.69951e-06 4.43574e+04
5.77885e-06 6.43739e+04
5.85929e-06 1.00072e+05
5.94086e-06 1.66088e+05
6.02356e-06 2.39873e+05
6.10741e-06 2.62905e+05
6.19243e-06 1.80217e+05
6.27864e-06 1.22971e+05
6.36604e-06 9.49168e+04
6.45466e-06 8.15270e+04
6.54451e-06 7.17602e+04
6.63562e-06 6.61342e+04
6.72799e-06 6.22414e+04
6.82165e-06 6.01132e+04
6.91661e-06 5.84579e+04
7.01289e-06 5.72486e+04
7.11052e-06 5.65423e+04
7.20950e-06 5.59452e+04
7.30986e-06 5.53908e+04
7.41162e-06 5.50044e+04
7.51480e-06 5.45404e+04
7.61941e-06 5.41966e+04
7.72548e-06 5.39968e+04
7.83302e-06 5.39506e+04
7.94206e-06 5.39487e+04
8.05262e-06 5.38291e+04
8.16472e-06 5.38296e+04
8.27838e-06 5.39072e+04
8.39362e-06 5.39434e+04
8.51047e-06 5.41112e+04
8.62894e-06 5.44084e+04
8.74906e-06 5.47003e+04
8.87085e-06 5.52104e+04
8.99434e-06 5.57099e+04
9.11955e-06 5.63664e+04
9.24650e-06 5.70177e+04
9.37522e-06 5.78068e+04
9.50573e-06 5.86131e+04
9.63805e-06 5.96942e+04
9.77222e-06 6.10882e+04
9.90826e-06 6.25180e+04
1.00462e-05 6.46283e+04
1.01860e-05 6.97798e+04
1.03278e-05 7.21304e+04
1.04716e-05 7.78877e+04
1.06174e-05 8.56563e+04
1.07652e-05 9.48523e+04
1.09150e-05 1.05317e+05
1.10670e-05 1.15893e+05
1.12210e-05 1.28908e+05
1.13773e-05 1.43319e+05
1.15356e-05 1.57678e+05
1.16962e-05 1.74786e+05
1.18590e-05 1.90843e+05
1.20241e-05 2.11815e+05
1.21915e-05 2.30827e+05
1.23612e-05 2.46246e+05
1.25333e-05 2.62647e+05
1.27078e-05 2.75806e+05
1.28847e-05 2.88363e+05
1.30640e-05 2.98943e+05
1.32459e-05 3.09345e+05
1.34303e-05 3.16506e+05
1.36172e-05 3.22468e+05
1.38068e-05 3.27679e+05
1.39990e-05 3.31740e+05
1.41939e-05 3.34210e+05
1.43915e-05 3.35690e+05
1.45918e-05 3.37283e+05
1.47949e-05 3.37308e+05
1.50009e-05 3.37198e+05
1.52097e-05 3.36425e+05
1.54215e-05 3.35678e+05
1.56361e-05 3.34876e+05
1.58538e-05 3.33305e+05
1.60745e-05 3.30684e+05
1.62983e-05 3.28074e+05
1.65252e-05 3.25398e+05
1.67552e-05 3.21974e+05
1.69884e-05 3.17632e+05
1.72249e-05 3.13923e+05
1.74647e-05 3.08809e+05
1.77078e-05 3.03305e+05
1.79543e-05 2.98364e+05
1.82043e-05 2.92962e+05
1.84577e-05 2.87515e+05
1.87146e-05 2.81000e+05
1.89752e-05 2.75136e+05
1.92393e-05 2.67208e+05
1.95071e-05 2.60408e+05
1.97787e-05 2.54374e+05
2.00540e-05 2.46103e+05
2.03332e-05 2.40654e+05
2.06162e-05 2.35326e+05
2.09032e-05 2.30116e+05
2.11942e-05 2.25167e+05
2.14893e-05 2.20386e+05
2.17884e-05 2.15706e+05
2.20917e-05 2.11125e+05
2.23993e-05 2.06642e+05
2.27111e-05 2.02254e+05
2.30272e-05 1.97894e+05
2.33478e-05 1.92520e+05
2.36728e-05 1.87292e+05
2.40023e-05 1.82216e+05
2.43365e-05 1.77507e+05
2.46752e-05 1.72920e+05
2.50187e-05 1.68438e+05
2.53670e-05 1.63846e+05
2.57202e-05 1.59379e+05
2.60782e-05 1.55007e+05
2.64412e-05 1.50656e+05
2.68093e-05 1.46428e+05
2.71825e-05 1.42382e+05
2.75609e-05 1.38498e+05
2.79446e-05 1.34721e+05
2.83336e-05 1.31034e+05
2.87280e-05 1.27446e+05
2.91279e-05 1.24144e+05
2.95334e-05 1.21211e+05
2.99445e-05 1.18348e+05
3.03614e-05 1.16181e+05
3.07840e-05 1.14130e+05
3.12126e-05 1.12435e+05
3.16471e-05 1.11010e+05
3.20876e-05 1.09695e+05
3.25343e-05 1.08717e+05
3.29872e-05 1.07747e+05
3.34464e-05 1.06878e+05
3.39120e-05 1.06027e+05
3.43841e-05 1.05434e+05
3.48627e-05 1.04873e+05
3.53481e-05 1.04640e+05
3.58401e-05 1.04523e+05
3.63391e-05 1.04405e+05
3.68449e-05 1.04287e+05
3.73578e-05 1.04686e+05
3.78779e-05 1.05276e+05
3.84052e-05 1.06022e+05
3.89398e-05 1.06830e+05
3.94819e-05 1.07525e+05
4.00315e-05 1.08230e+05
4.05887e-05 1.09166e+05
4.11538e-05 1.10171e+05
4.17267e-05 1.11387e+05
4.23075e-05 1.12465e+05
4.28965e-05 1.13434e+05
4.34936e-05 1.14373e+05
4.40991e-05 1.15315e+05
4.47130e-05 1.16259e+05
4.53354e-05 1.17127e+05
4.59665e-05 1.17938e+05
4.66064e-05 1.18853e+05
4.72552e-05 1.19555e+05
4.79130e-05 1.19921e+05
4.85800e-05 1.19947e+05
4.92563e-05 1.19947e+05
4.99420e-05 1.19958e+05
5.06372e-05 1.20045e+05
5.13421e-05 1.20139e+05
5.20568e-05 1.20169e+05
5.27815e-05 1.19443e+05
5.35162e-05 1.18722e+05
5.42612e-05 1.17922e+05
5.50166e-05 1.17011e+05
5.57825e-05 1.16106e+05
5.65590e-05 1.15160e+05
5.73463e-05 1.14204e+05
5.81446e-05 1.13152e+05
5.89541e-05 1.11811e+05
5.97747e-05 1.10486e+05
6.06068e-05 1.08940e+05
6.14505e-05 1.07339e+05
6.23060e-05 1.05806e+05
6.31733e-05 1.04353e+05
6.40527e-05 1.02910e+05
6.49444e-05 1.01389e+05
6.58485e-05 9.98911e+04
6.67651e-05 9.83363e+04
6.76945e-05 9.67807e+04
6.86369e-05 9.51787e+04
6.95924e-05 9.35547e+04
7.05612e-05 9.19523e+04
7.15434e-05 9.03735e+04
7.25394e-05 8.88261e+04
7.35492e-05 8.73082e+04
